"","CID","Nome"
"1","V01","Pedestre traumatizado em colisão com um veículo a pedal"
"2","V01.0","Pedestre traumatizado em colisão com um veículo a pedal - acidente não-de-trânsito"
"3","V01.1","Pedestre traumatizado em colisão com um veículo a pedal - acidente de trânsito"
"4","V01.9","Pedestre traumatizado em colisão com um veículo a pedal - acidente não especificado se de trânsito ou não de trânsito"
"5","V02","Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas"
"6","V02.0","Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas - acidente não-de-trânsito"
"7","V02.1","Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas - acidente de trânsito"
"8","V02.9","Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas - acidente não especificado se de trânsito ou não de trânsito"
"9","V03","Pedestre traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete"
"10","V03.0","Pedestre traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - acidente não-de-trânsito"
"11","V03.1","Pedestre traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - acidente de trânsito"""
"12","V03.9","Pedestre traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - acidente não especificado se de trânsito ou não de trânsito"
"13","V04","Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus"
"14","V04.0","Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus - acidente não-de-trânsito"
"15","V04.1","Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus - acidente de trânsito"
"16","V04.9","Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus - acidente não especificado se de trânsito ou não de trânsito"
"17","V05","Pedestre traumatizado em colisão com trem (comboio) ou um veículo ferroviário"
"18","V05.0","Pedestre traumatizado em colisão com trem (comboio) ou um veículo ferroviário - acidente não-de-trânsito"
"19","V05.1","Pedestre traumatizado em colisão com trem (comboio) ou um veículo ferroviário - acidente de trânsito"
"20","V05.9","Pedestre traumatizado em colisão com trem (comboio) ou um veículo ferroviário - acidente não especificado se de trânsito ou não de trânsito"
"21","V06","Pedestre traumatizado em colisão com outro veículo não-motorizado"
"22","V06.0","Pedestre traumatizado em colisão com outro veículo não-motorizado - acidente não-de-trânsito"
"23","V06.1","Pedestre traumatizado em colisão com outro veículo não-motorizado - acidente de trânsito"
"24","V06.9","Pedestre traumatizado em colisão com outro veículo não-motorizado - acidente não especificado se de trânsito ou não de trânsito"
"25","V09","Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados"
"26","V09.0","Pedestre traumatizado em um acidente não-de-trânsito, envolvendo outros veículos a motor e os não especificados"
"27","V09.1","Pedestre traumatizado em um acidente não-de-trânsito não especificado"
"28","V09.2","Pedestre traumatizado em um acidente de trânsito envolvendo outros veículos e os não especificados, a motor"
"29","V09.3","Pedestre traumatizado em um acidente de trânsito não especificado"
"30","V09.9","Pedestre traumatizado em um acidente de transporte não especificado"
