"","apply.df..2..FUN...conta_na."
"nivel_escolaridade_mae",359115
"acid_trabalho",106376
"ano_de_controle",0
"assist_medica",86405
"atestado",134056
"causa_basica_obito",0
"causa_basica_pre_resselacao",0
"circunstancia_obito",562
"cod_municipio_natural",147523
"cod_municipio_ocorrencia",0
"cod_municipio_residencia",0
"data_nascimento",3619
"dt_obito",0
"escolaridade_anos_falecido",0
"escolaridade_anos_mae",0
"estado_civil",17841
"gestacao_invervalar",359241
"idade",0
"local_ocorrencia",1
"morte_gestac_pos_gestac",331820
"nivel_escolaridade_falecido",80774
"ocupacao_falecido",88320
"ocupacao_mae",359207
"quantidade_filhos_vivos",0
"raca_cor",11304
"realizacao_cirurgia",346846
"realizacao_exame",346955
"semana_gestacao",44553
"serie_concluida_falecido",287826
"serie_concluida_mae",359454
"sexo",0
"statusdoepdemiologico",482
"tipo_idade",0
"tipo_obito",0
"tipo_parto",359122
"tp_obito_ocorrencia",326753
